date,value
2000-01-01,67.80836714610588
2000-04-01,-44.494371004859886
2000-07-01,-15.128041379705024
2000-10-01,372.58099490746304
2001-01-01,407.5169148873031
2001-04-01,-131.51648184103027
2001-07-01,286.0172867304297
2001-10-01,151.87789624410166
2002-01-01,391.81881100840855
2002-04-01,500.3834346012036
2002-07-01,872.2794440984088
2002-10-01,500.2189875905949
2003-01-01,458.0419485704229
2003-04-01,815.0932854661354
2003-07-01,608.3452400949132
2003-10-01,660.7840013774977
2004-01-01,732.2746151902633
2004-04-01,1034.733409692806
2004-07-01,769.6998874551233
2004-10-01,654.2905773505079
2005-01-01,1067.080021199058
2005-04-01,744.6013851474493
2005-07-01,1022.1702051519459
2005-10-01,893.6629708156352
2006-01-01,1089.690249115156
2006-04-01,835.7004393309198
2006-07-01,906.3971972782875
2006-10-01,1275.781258929052
2007-01-01,1303.0595088717419
2007-04-01,1192.8911836420075
2007-07-01,1298.2172191199795
2007-10-01,1473.987607029627
2008-01-01,1645.5449896850384
2008-04-01,1694.0288952672367
2008-07-01,1407.4913515484313
2008-10-01,1486.7337427882874
2009-01-01,1408.8757178375622
2009-04-01,1748.8781927447187
2009-07-01,1733.7998169725465
2009-10-01,1643.9821558523681
2010-01-01,1877.0289302517065
2010-04-01,1845.9041095971509
2010-07-01,2115.3246855916314
2010-10-01,1734.9829086073482
2011-01-01,1743.9527285202746
2011-04-01,1952.861213825176
2011-07-01,1991.1351574937962
2011-10-01,2106.9587359471393
2012-01-01,1825.2232995207082
2012-04-01,2070.122368712372
2012-07-01,2228.1660354761075
2012-10-01,2178.627823441268
2013-01-01,2261.962879160029
2013-04-01,2310.088216982409
2013-07-01,2214.3605114873
2013-10-01,2357.381129922632
2014-01-01,2562.9355812480385
2014-04-01,2910.25659780713
2014-07-01,2501.8941352743796
